op,element_type,analysis,n,sparsity,time_ns
SUM,double,"AnalysisFlag::min",1024,0.1,165206
SUM,double,"AnalysisFlag::min",1024,0.1,165312
SUM,double,"AnalysisFlag::min",1024,0.1,165035
SUM,double,"AnalysisFlag::min",1024,0.1,164959
SUM,double,"AnalysisFlag::min",1024,0.1,165189
SUM,double,"AnalysisFlag::min",1024,0.1,166793
SUM,double,"AnalysisFlag::min",1024,0.1,167565
SUM,double,"AnalysisFlag::min",2048,0.1,649290
SUM,double,"AnalysisFlag::min",2048,0.1,650534
SUM,double,"AnalysisFlag::min",2048,0.1,647823
SUM,double,"AnalysisFlag::min",2048,0.1,650035
SUM,double,"AnalysisFlag::min",2048,0.1,650564
SUM,double,"AnalysisFlag::min",2048,0.1,650255
SUM,double,"AnalysisFlag::min",2048,0.1,648361
SUM,double,"AnalysisFlag::min",2048,0.1,649805
SUM,double,"AnalysisFlag::min",2048,0.1,648372
SUM,double,"AnalysisFlag::min",2048,0.1,649817
SUM,double,"AnalysisFlag::min",4096,0.1,2.60488e+06
SUM,double,"AnalysisFlag::min",4096,0.1,2.6048e+06
SUM,double,"AnalysisFlag::min",4096,0.1,2.60277e+06
SUM,double,"AnalysisFlag::min",4096,0.1,2.60195e+06
SUM,double,"AnalysisFlag::min",4096,0.1,2.60454e+06
SUM,double,"AnalysisFlag::min",4096,0.1,2.59859e+06
SUM,double,"AnalysisFlag::min",4096,0.1,2.60488e+06
SUM,double,"AnalysisFlag::min",4096,0.1,2.60035e+06
SUM,double,"AnalysisFlag::min",4096,0.1,2.60249e+06
SUM,double,"AnalysisFlag::min",4096,0.1,2.59985e+06
SUM,int64_t,"AnalysisFlag::min",1024,0.1,186343
SUM,int64_t,"AnalysisFlag::min",1024,0.1,184400
SUM,int64_t,"AnalysisFlag::min",1024,0.1,185821
SUM,int64_t,"AnalysisFlag::min",1024,0.1,163215
SUM,int64_t,"AnalysisFlag::min",1024,0.1,164830
SUM,int64_t,"AnalysisFlag::min",1024,0.1,181489
SUM,int64_t,"AnalysisFlag::min",1024,0.1,167516
SUM,int64_t,"AnalysisFlag::min",1024,0.1,175011
SUM,int64_t,"AnalysisFlag::min",1024,0.1,175054
SUM,int64_t,"AnalysisFlag::min",1024,0.1,172554
SUM,int64_t,"AnalysisFlag::min",2048,0.1,648928
SUM,int64_t,"AnalysisFlag::min",2048,0.1,677402
SUM,int64_t,"AnalysisFlag::min",2048,0.1,647992
SUM,int64_t,"AnalysisFlag::min",2048,0.1,646261
SUM,int64_t,"AnalysisFlag::min",2048,0.1,644632
SUM,int64_t,"AnalysisFlag::min",2048,0.1,648757
SUM,int64_t,"AnalysisFlag::min",2048,0.1,651004
SUM,int64_t,"AnalysisFlag::min",2048,0.1,649095
SUM,int64_t,"AnalysisFlag::min",2048,0.1,649842
SUM,int64_t,"AnalysisFlag::min",2048,0.1,674135
SUM,int64_t,"AnalysisFlag::min",4096,0.1,2.27662e+06
SUM,int64_t,"AnalysisFlag::min",4096,0.1,2.27242e+06
SUM,int64_t,"AnalysisFlag::min",4096,0.1,2.26924e+06
SUM,int64_t,"AnalysisFlag::min",4096,0.1,2.26678e+06
SUM,int64_t,"AnalysisFlag::min",4096,0.1,2.27267e+06
SUM,int64_t,"AnalysisFlag::min",4096,0.1,2.27328e+06
SUM,int64_t,"AnalysisFlag::min",4096,0.1,2.27926e+06
SUM,int64_t,"AnalysisFlag::min",4096,0.1,2.27263e+06
SUM,int64_t,"AnalysisFlag::min",4096,0.1,2.27546e+06
SUM,int64_t,"AnalysisFlag::min",4096,0.1,2.26542e+06
SUM,double,"AnalysisFlag::min",1024,0.2,330766
SUM,double,"AnalysisFlag::min",1024,0.2,329383
SUM,double,"AnalysisFlag::min",1024,0.2,325919
