op,element_type,analysis,n,sparsity,time_ns
SUM,int64_t,"AnalysisFlag::min",4096,1,1.7584e+07
SUM,int64_t,"AnalysisFlag::min",4096,1,1.75509e+07
SUM,int64_t,"AnalysisFlag::min",4096,1,1.75355e+07
SUM,int64_t,"AnalysisFlag::min",4096,1,1.75314e+07
SUM,int64_t,"AnalysisFlag::min",4096,1,1.75353e+07
SUM,int64_t,"AnalysisFlag::min",4096,1,1.75306e+07
SUM,int64_t,"AnalysisFlag::min",4096,1,1.7527e+07
SUM,int64_t,"AnalysisFlag::min",4096,1,1.75515e+07
SUM,int64_t,"AnalysisFlag::min",4096,1,1.75359e+07
SUM,int64_t,"AnalysisFlag::min",4096,1,1.75379e+07
MEAN,double,"AnalysisFlag::min",1024,0.001,14205
MEAN,double,"AnalysisFlag::min",1024,0.001,8848
MEAN,double,"AnalysisFlag::min",1024,0.001,11217
MEAN,double,"AnalysisFlag::min",1024,0.001,10532
MEAN,double,"AnalysisFlag::min",1024,0.001,10485
MEAN,double,"AnalysisFlag::min",1024,0.001,10697
MEAN,double,"AnalysisFlag::min",1024,0.001,11051
MEAN,double,"AnalysisFlag::min",1024,0.001,10546
MEAN,double,"AnalysisFlag::min",1024,0.001,10360
MEAN,double,"AnalysisFlag::min",1024,0.001,10736
MEAN,double,"AnalysisFlag::min",2048,0.001,24661
MEAN,double,"AnalysisFlag::min",2048,0.001,18836
MEAN,double,"AnalysisFlag::min",2048,0.001,22907
MEAN,double,"AnalysisFlag::min",2048,0.001,23002
MEAN,double,"AnalysisFlag::min",2048,0.001,23711
MEAN,double,"AnalysisFlag::min",2048,0.001,22932
MEAN,double,"AnalysisFlag::min",2048,0.001,22479
MEAN,double,"AnalysisFlag::min",2048,0.001,22786
MEAN,double,"AnalysisFlag::min",2048,0.001,22816
MEAN,double,"AnalysisFlag::min",2048,0.001,22607
MEAN,double,"AnalysisFlag::min",4096,0.001,58211
MEAN,double,"AnalysisFlag::min",4096,0.001,54659
MEAN,double,"AnalysisFlag::min",4096,0.001,57036
MEAN,double,"AnalysisFlag::min",4096,0.001,56335
MEAN,double,"AnalysisFlag::min",4096,0.001,55073
MEAN,double,"AnalysisFlag::min",4096,0.001,55291
MEAN,double,"AnalysisFlag::min",4096,0.001,54997
MEAN,double,"AnalysisFlag::min",4096,0.001,56824
MEAN,double,"AnalysisFlag::min",4096,0.001,56820
MEAN,double,"AnalysisFlag::min",4096,0.001,56136
MEAN,int64_t,"AnalysisFlag::min",1024,0.001,11540
MEAN,int64_t,"AnalysisFlag::min",1024,0.001,6714
