mode,op,element_type,analysis,n,sparsity,seed,time_ns,select-matrix-repr
naive,idxMin,double,,2048,0.2,7,5302060,False
vectorized,idxMin,double,,2048,0.2,8,5332965,False
naive,idxMin,double,,2048,0.2,8,5377303,False
vectorized,idxMin,double,,2048,0.2,9,5346205,False
naive,idxMin,double,,2048,0.2,9,5341393,False
vectorized,idxMin,double,,2048,0.25,0,5340723,True
naive,idxMin,double,,2048,0.25,0,5323768,True
vectorized,idxMin,double,,2048,0.25,1,5333717,True
naive,idxMin,double,,2048,0.25,1,5334927,True
vectorized,idxMin,double,,2048,0.25,2,5344481,True
naive,idxMin,double,,2048,0.25,2,5350291,True
vectorized,idxMin,double,,2048,0.25,3,5330980,True
naive,idxMin,double,,2048,0.25,3,5332530,True
vectorized,idxMin,double,,2048,0.25,4,5714545,True
naive,idxMin,double,,2048,0.25,4,5346656,True
vectorized,idxMin,double,,2048,0.25,5,5372248,True
naive,idxMin,double,,2048,0.25,5,5342842,True
vectorized,idxMin,double,,2048,0.25,6,5339633,True
naive,idxMin,double,,2048,0.25,6,5367783,True
vectorized,idxMin,double,,2048,0.25,7,5362963,True
naive,idxMin,double,,2048,0.25,7,5342309,True
vectorized,idxMin,double,,2048,0.25,8,5305928,True
naive,idxMin,double,,2048,0.25,8,6830752,True
vectorized,idxMin,double,,2048,0.25,9,5336968,True
naive,idxMin,double,,2048,0.25,9,5341371,True
vectorized,idxMin,double,,2048,1.0,0,6122061,True
naive,idxMin,double,,2048,1.0,0,5345101,True
vectorized,idxMin,double,,2048,1.0,1,6126327,True
naive,idxMin,double,,2048,1.0,1,5349379,True
vectorized,idxMin,double,,2048,1.0,2,6127061,True
naive,idxMin,double,,2048,1.0,2,6119676,True
vectorized,idxMin,double,,2048,1.0,3,6147637,True
naive,idxMin,double,,2048,1.0,3,5350622,True
vectorized,idxMin,double,,2048,1.0,4,6123912,True
naive,idxMin,double,,2048,1.0,4,6127690,True
vectorized,idxMin,double,,2048,1.0,5,6030090,True
naive,idxMin,double,,2048,1.0,5,6000119,True
