mode,op,element_type,analysis,n,sparsity,seed,time_ns,select-matrix-repr
vectorized,,int64_t,,4096,0.01,2,39593,False
naive,,int64_t,,4096,0.01,2,59052,False
vectorized,,int64_t,,4096,0.01,3,39807,False
naive,,int64_t,,4096,0.01,3,41795,False
vectorized,,int64_t,,4096,0.01,4,40010,False
naive,,int64_t,,4096,0.01,4,43903,False
vectorized,,int64_t,,4096,0.01,5,39445,False
naive,,int64_t,,4096,0.01,5,42314,False
vectorized,,int64_t,,4096,0.01,6,39963,False
naive,,int64_t,,4096,0.01,6,40162,False
vectorized,,int64_t,,4096,0.01,7,40633,False
naive,,int64_t,,4096,0.01,7,43216,False
vectorized,,int64_t,,4096,0.01,8,39271,False
naive,,int64_t,,4096,0.01,8,38276,False
vectorized,,int64_t,,4096,0.01,9,42550,False
naive,,int64_t,,4096,0.01,9,42921,False
vectorized,,int64_t,,4096,0.05,0,39622,False
naive,,int64_t,,4096,0.05,0,58088,False
vectorized,,int64_t,,4096,0.05,1,38311,False
naive,,int64_t,,4096,0.05,1,59648,False
vectorized,,int64_t,,4096,0.05,2,38138,False
naive,,int64_t,,4096,0.05,2,42049,False
vectorized,,int64_t,,4096,0.05,3,38123,False
naive,,int64_t,,4096,0.05,3,42574,False
vectorized,,int64_t,,4096,0.05,4,38228,False
naive,,int64_t,,4096,0.05,4,63085,False
vectorized,,int64_t,,4096,0.05,5,39319,False
naive,,int64_t,,4096,0.05,5,44571,False
vectorized,,int64_t,,4096,0.05,6,39364,False
naive,,int64_t,,4096,0.05,6,45771,False
vectorized,,int64_t,,4096,0.05,7,38942,False
naive,,int64_t,,4096,0.05,7,41613,False
vectorized,,int64_t,,4096,0.05,8,38519,False
naive,,int64_t,,4096,0.05,8,42329,False
vectorized,,int64_t,,4096,0.05,9,37921,False
naive,,int64_t,,4096,0.05,9,42514,False
vectorized,,int64_t,,4096,0.1,0,38754,False
naive,,int64_t,,4096,0.1,0,59513,False
vectorized,,int64_t,,4096,0.1,1,37326,False
naive,,int64_t,,4096,0.1,1,38372,False
vectorized,,int64_t,,4096,0.1,2,36717,False
naive,,int64_t,,4096,0.1,2,41238,False
vectorized,,int64_t,,4096,0.1,3,37637,False
naive,,int64_t,,4096,0.1,3,42650,False
vectorized,,int64_t,,4096,0.1,4,37558,False
naive,,int64_t,,4096,0.1,4,41510,False
vectorized,,int64_t,,4096,0.1,5,38068,False
naive,,int64_t,,4096,0.1,5,42296,False
vectorized,,int64_t,,4096,0.1,6,38859,False
naive,,int64_t,,4096,0.1,6,42904,False
vectorized,,int64_t,,4096,0.1,7,37771,False
naive,,int64_t,,4096,0.1,7,42336,False
vectorized,,int64_t,,4096,0.1,8,38363,False
naive,,int64_t,,4096,0.1,8,41133,False
vectorized,,int64_t,,4096,0.1,9,37927,False
naive,,int64_t,,4096,0.1,9,41380,False
vectorized,,int64_t,,4096,0.2,0,37628,False
naive,,int64_t,,4096,0.2,0,41847,False
vectorized,,int64_t,,4096,0.2,1,36431,False
naive,,int64_t,,4096,0.2,1,57656,False
vectorized,,int64_t,,4096,0.2,2,37980,False
naive,,int64_t,,4096,0.2,2,38789,False
vectorized,,int64_t,,4096,0.2,3,35574,False
naive,,int64_t,,4096,0.2,3,40024,False
vectorized,,int64_t,,4096,0.2,4,36033,False
naive,,int64_t,,4096,0.2,4,38199,False
vectorized,,int64_t,,4096,0.2,5,36739,False
naive,,int64_t,,4096,0.2,5,37291,False
vectorized,,int64_t,,4096,0.2,6,35829,False
naive,,int64_t,,4096,0.2,6,40435,False
vectorized,,int64_t,,4096,0.2,7,38001,False
naive,,int64_t,,4096,0.2,7,40689,False
vectorized,,int64_t,,4096,0.2,8,36740,False
naive,,int64_t,,4096,0.2,8,39695,False
vectorized,,int64_t,,4096,0.2,9,36584,False
naive,,int64_t,,4096,0.2,9,37656,False
vectorized,,int64_t,,4096,0.25,0,36648,True
naive,,int64_t,,4096,0.25,0,38520,True
vectorized,,int64_t,,4096,0.25,1,35814,True
naive,,int64_t,,4096,0.25,1,56751,True
vectorized,,int64_t,,4096,0.25,2,36985,True
naive,,int64_t,,4096,0.25,2,39602,True
vectorized,,int64_t,,4096,0.25,3,35255,True
naive,,int64_t,,4096,0.25,3,56027,True
vectorized,,int64_t,,4096,0.25,4,35325,True
naive,,int64_t,,4096,0.25,4,38777,True
vectorized,,int64_t,,4096,0.25,5,35808,True
naive,,int64_t,,4096,0.25,5,37521,True
vectorized,,int64_t,,4096,0.25,6,35274,True
naive,,int64_t,,4096,0.25,6,39730,True
vectorized,,int64_t,,4096,0.25,7,35599,True
naive,,int64_t,,4096,0.25,7,40866,True
vectorized,,int64_t,,4096,0.25,8,36155,True
naive,,int64_t,,4096,0.25,8,42480,True
vectorized,,int64_t,,4096,0.25,9,36253,True
naive,,int64_t,,4096,0.25,9,38972,True
vectorized,,int64_t,,4096,1.0,0,33370,True
naive,,int64_t,,4096,1.0,0,36249,True
vectorized,,int64_t,,4096,1.0,1,33860,True
naive,,int64_t,,4096,1.0,1,35777,True
vectorized,,int64_t,,4096,1.0,2,33181,True
naive,,int64_t,,4096,1.0,2,33944,True
vectorized,,int64_t,,4096,1.0,3,33828,True
naive,,int64_t,,4096,1.0,3,33372,True
vectorized,,int64_t,,4096,1.0,4,33740,True
naive,,int64_t,,4096,1.0,4,34962,True
vectorized,,int64_t,,4096,1.0,5,34726,True
naive,,int64_t,,4096,1.0,5,33483,True
vectorized,,int64_t,,4096,1.0,6,33178,True
naive,,int64_t,,4096,1.0,6,53508,True
vectorized,,int64_t,,4096,1.0,7,32463,True
naive,,int64_t,,4096,1.0,7,54004,True
vectorized,,int64_t,,4096,1.0,8,32912,True
naive,,int64_t,,4096,1.0,8,35131,True
vectorized,,int64_t,,4096,1.0,9,33067,True
naive,,int64_t,,4096,1.0,9,32987,True
vectorized,,int64_t,,1024,0.001,0,27769,False
naive,,int64_t,,1024,0.001,0,27532,False
vectorized,,int64_t,,1024,0.001,1,27091,False
naive,,int64_t,,1024,0.001,1,27404,False
vectorized,,int64_t,,1024,0.001,2,27081,False
naive,,int64_t,,1024,0.001,2,28831,False
vectorized,,int64_t,,1024,0.001,3,27846,False
naive,,int64_t,,1024,0.001,3,28105,False
vectorized,,int64_t,,1024,0.001,4,28400,False
naive,,int64_t,,1024,0.001,4,29208,False
vectorized,,int64_t,,1024,0.001,5,38968,False
naive,,int64_t,,1024,0.001,5,27341,False
vectorized,,int64_t,,1024,0.001,6,27211,False
naive,,int64_t,,1024,0.001,6,28481,False
vectorized,,int64_t,,1024,0.001,7,27075,False
naive,,int64_t,,1024,0.001,7,27536,False
vectorized,,int64_t,,1024,0.001,8,27929,False
naive,,int64_t,,1024,0.001,8,27676,False
vectorized,,int64_t,,1024,0.001,9,27285,False
naive,,int64_t,,1024,0.001,9,27469,False
vectorized,,int64_t,,1024,0.01,0,28894,False
naive,,int64_t,,1024,0.01,0,29271,False
vectorized,,int64_t,,1024,0.01,1,29133,False
naive,,int64_t,,1024,0.01,1,48591,False
vectorized,,int64_t,,1024,0.01,2,28658,False
naive,,int64_t,,1024,0.01,2,32067,False
vectorized,,int64_t,,1024,0.01,3,28789,False
naive,,int64_t,,1024,0.01,3,29005,False
vectorized,,int64_t,,1024,0.01,4,28943,False
naive,,int64_t,,1024,0.01,4,29073,False
vectorized,,int64_t,,1024,0.01,5,28689,False
naive,,int64_t,,1024,0.01,5,28955,False
vectorized,,int64_t,,1024,0.01,6,28011,False
naive,,int64_t,,1024,0.01,6,28510,False
vectorized,,int64_t,,1024,0.01,7,28469,False
naive,,int64_t,,1024,0.01,7,31178,False
vectorized,,int64_t,,1024,0.01,8,27738,False
naive,,int64_t,,1024,0.01,8,28109,False
vectorized,,int64_t,,1024,0.01,9,28956,False
naive,,int64_t,,1024,0.01,9,27488,False
vectorized,,int64_t,,1024,0.05,0,29613,False
