mode,op,element_type,analysis,n,sparsity,seed,time_ns,select-matrix-repr
vectorized,idxMin,double,,2048,0.05,8,3304861,False
naive,idxMin,double,,2048,0.05,8,4455486,False
vectorized,idxMin,double,,2048,0.05,9,3308864,False
naive,idxMin,double,,2048,0.05,9,3465867,False
vectorized,idxMin,double,,2048,0.1,0,3334751,False
naive,idxMin,double,,2048,0.1,0,3358799,False
vectorized,idxMin,double,,2048,0.1,1,3354657,False
naive,idxMin,double,,2048,0.1,1,4558043,False
vectorized,idxMin,double,,2048,0.1,2,3334686,False
naive,idxMin,double,,2048,0.1,2,3339988,False
vectorized,idxMin,double,,2048,0.1,3,3371423,False
naive,idxMin,double,,2048,0.1,3,3329123,False
vectorized,idxMin,double,,2048,0.1,4,3338975,False
naive,idxMin,double,,2048,0.1,4,3322420,False
vectorized,idxMin,double,,2048,0.1,5,3316572,False
naive,idxMin,double,,2048,0.1,5,3327197,False
vectorized,idxMin,double,,2048,0.1,6,3326824,False
naive,idxMin,double,,2048,0.1,6,3309601,False
vectorized,idxMin,double,,2048,0.1,7,3359133,False
naive,idxMin,double,,2048,0.1,7,3333216,False
vectorized,idxMin,double,,2048,0.1,8,3353368,False
naive,idxMin,double,,2048,0.1,8,3323097,False
vectorized,idxMin,double,,2048,0.1,9,3336791,False
naive,idxMin,double,,2048,0.1,9,3370866,False
vectorized,idxMin,double,,2048,0.2,0,3358230,False
naive,idxMin,double,,2048,0.2,0,3355038,False
vectorized,idxMin,double,,2048,0.2,1,3352843,False
naive,idxMin,double,,2048,0.2,1,3384223,False
vectorized,idxMin,double,,2048,0.2,2,3363282,False
naive,idxMin,double,,2048,0.2,2,3333046,False
vectorized,idxMin,double,,2048,0.2,3,3393623,False
naive,idxMin,double,,2048,0.2,3,3352202,False
vectorized,idxMin,double,,2048,0.2,4,3361015,False
naive,idxMin,double,,2048,0.2,4,3340684,False
vectorized,idxMin,double,,2048,0.2,5,3429346,False
naive,idxMin,double,,2048,0.2,5,3342196,False
vectorized,idxMin,double,,2048,0.2,6,3404626,False
naive,idxMin,double,,2048,0.2,6,3317208,False
vectorized,idxMin,double,,2048,0.2,7,3361414,False
naive,idxMin,double,,2048,0.2,7,3407546,False
vectorized,idxMin,double,,2048,0.2,8,3399170,False
naive,idxMin,double,,2048,0.2,8,3351562,False
vectorized,idxMin,double,,2048,0.2,9,3325727,False
naive,idxMin,double,,2048,0.2,9,3415345,False
vectorized,idxMin,double,,2048,0.25,0,3411729,True
naive,idxMin,double,,2048,0.25,0,3338953,True
vectorized,idxMin,double,,2048,0.25,1,3336581,True
naive,idxMin,double,,2048,0.25,1,3400124,True
vectorized,idxMin,double,,2048,0.25,2,3374302,True
naive,idxMin,double,,2048,0.25,2,3372913,True
vectorized,idxMin,double,,2048,0.25,3,3346441,True
naive,idxMin,double,,2048,0.25,3,3346680,True
vectorized,idxMin,double,,2048,0.25,4,3841267,True
naive,idxMin,double,,2048,0.25,4,3430775,True
vectorized,idxMin,double,,2048,0.25,5,3364044,True
naive,idxMin,double,,2048,0.25,5,3395447,True
vectorized,idxMin,double,,2048,0.25,6,3337218,True
naive,idxMin,double,,2048,0.25,6,3352339,True
vectorized,idxMin,double,,2048,0.25,7,3375292,True
naive,idxMin,double,,2048,0.25,7,3376517,True
vectorized,idxMin,double,,2048,0.25,8,3334256,True
naive,idxMin,double,,2048,0.25,8,3359001,True
vectorized,idxMin,double,,2048,0.25,9,3378864,True
naive,idxMin,double,,2048,0.25,9,3496204,True
vectorized,idxMin,double,,2048,1.0,0,4661750,True
naive,idxMin,double,,2048,1.0,0,4576878,True
vectorized,idxMin,double,,2048,1.0,1,4595857,True
naive,idxMin,double,,2048,1.0,1,4574612,True
vectorized,idxMin,double,,2048,1.0,2,4548471,True
naive,idxMin,double,,2048,1.0,2,4259932,True
vectorized,idxMin,double,,2048,1.0,3,4791313,True
naive,idxMin,double,,2048,1.0,3,4582974,True
vectorized,idxMin,double,,2048,1.0,4,4609121,True
naive,idxMin,double,,2048,1.0,4,4625883,True
vectorized,idxMin,double,,2048,1.0,5,4609797,True
naive,idxMin,double,,2048,1.0,5,5078186,True
vectorized,idxMin,double,,2048,1.0,6,4641452,True
naive,idxMin,double,,2048,1.0,6,4577431,True
vectorized,idxMin,double,,2048,1.0,7,4619661,True
naive,idxMin,double,,2048,1.0,7,3739655,True
vectorized,idxMin,double,,2048,1.0,8,4580162,True
naive,idxMin,double,,2048,1.0,8,4668751,True
vectorized,idxMin,double,,2048,1.0,9,4613218,True
naive,idxMin,double,,2048,1.0,9,4555649,True
vectorized,idxMin,double,,4096,0.001,0,13691353,False
naive,idxMin,double,,4096,0.001,0,13468155,False
vectorized,idxMin,double,,4096,0.001,1,13645145,False
naive,idxMin,double,,4096,0.001,1,13760571,False
vectorized,idxMin,double,,4096,0.001,2,13440124,False
naive,idxMin,double,,4096,0.001,2,13557288,False
vectorized,idxMin,double,,4096,0.001,3,13608173,False
naive,idxMin,double,,4096,0.001,3,13502013,False
vectorized,idxMin,double,,4096,0.001,4,13623820,False
naive,idxMin,double,,4096,0.001,4,13652672,False
