mode,op,element_type,analysis,n,sparsity,seed,time_ns,select-matrix-repr
naive,exp,double,symmetry,1024,0.001,0,20862120,False
vectorized,exp,double,symmetry,1024,0.001,1,22990799,False
naive,exp,double,symmetry,1024,0.001,1,20981361,False
vectorized,exp,double,symmetry,1024,0.001,2,23169115,False
naive,exp,double,symmetry,1024,0.001,2,20721738,False
vectorized,exp,double,symmetry,1024,0.001,3,23050720,False
naive,exp,double,symmetry,1024,0.001,3,20779493,False
vectorized,exp,double,symmetry,1024,0.001,4,23108863,False
naive,exp,double,symmetry,1024,0.001,4,20609466,False
vectorized,exp,double,symmetry,1024,0.001,5,22776243,False
naive,exp,double,symmetry,1024,0.001,5,20777264,False
vectorized,exp,double,symmetry,1024,0.001,6,23099933,False
naive,exp,double,symmetry,1024,0.001,6,19224226,False
vectorized,exp,double,symmetry,1024,0.001,7,22692754,False
naive,exp,double,symmetry,1024,0.001,7,21231064,False
vectorized,exp,double,symmetry,1024,0.001,8,24520098,False
naive,exp,double,symmetry,1024,0.001,8,20700523,False
vectorized,exp,double,symmetry,1024,0.001,9,23347234,False
naive,exp,double,symmetry,1024,0.001,9,21343374,False
vectorized,exp,double,symmetry,1024,0.01,0,23140226,False
naive,exp,double,symmetry,1024,0.01,0,21208105,False
vectorized,exp,double,symmetry,1024,0.01,1,23772435,False
naive,exp,double,symmetry,1024,0.01,1,21157745,False
vectorized,exp,double,symmetry,1024,0.01,2,23483758,False
naive,exp,double,symmetry,1024,0.01,2,21072625,False
vectorized,exp,double,symmetry,1024,0.01,3,23553807,False
naive,exp,double,symmetry,1024,0.01,3,20947829,False
vectorized,exp,double,symmetry,1024,0.01,4,22899393,False
naive,exp,double,symmetry,1024,0.01,4,21061218,False
vectorized,exp,double,symmetry,1024,0.01,5,23001929,False
naive,exp,double,symmetry,1024,0.01,5,20896516,False
vectorized,exp,double,symmetry,1024,0.01,6,23511037,False
naive,exp,double,symmetry,1024,0.01,6,21317272,False
vectorized,exp,double,symmetry,1024,0.01,7,23381287,False
naive,exp,double,symmetry,1024,0.01,7,21522817,False
vectorized,exp,double,symmetry,1024,0.01,8,23566610,False
naive,exp,double,symmetry,1024,0.01,8,20933532,False
vectorized,exp,double,symmetry,1024,0.01,9,23358985,False
naive,exp,double,symmetry,1024,0.01,9,20955582,False
vectorized,exp,double,symmetry,1024,0.05,0,24006806,False
naive,exp,double,symmetry,1024,0.05,0,22030080,False
vectorized,exp,double,symmetry,1024,0.05,1,24492219,False
naive,exp,double,symmetry,1024,0.05,1,22801900,False
vectorized,exp,double,symmetry,1024,0.05,2,24072779,False
naive,exp,double,symmetry,1024,0.05,2,22072858,False
vectorized,exp,double,symmetry,1024,0.05,3,24594840,False
naive,exp,double,symmetry,1024,0.05,3,22061645,False
vectorized,exp,double,symmetry,1024,0.05,4,23750124,False
naive,exp,double,symmetry,1024,0.05,4,22313283,False
vectorized,exp,double,symmetry,1024,0.05,5,23917199,False
naive,exp,double,symmetry,1024,0.05,5,22124767,False
vectorized,exp,double,symmetry,1024,0.05,6,24467268,False
naive,exp,double,symmetry,1024,0.05,6,22370582,False
vectorized,exp,double,symmetry,1024,0.05,7,24819331,False
naive,exp,double,symmetry,1024,0.05,7,22057231,False
vectorized,exp,double,symmetry,1024,0.05,8,24597258,False
naive,exp,double,symmetry,1024,0.05,8,22261746,False
vectorized,exp,double,symmetry,1024,0.05,9,23819929,False
naive,exp,double,symmetry,1024,0.05,9,22368356,False
vectorized,exp,double,symmetry,1024,0.1,0,26064333,False
naive,exp,double,symmetry,1024,0.1,0,23544703,False
vectorized,exp,double,symmetry,1024,0.1,1,25691098,False
naive,exp,double,symmetry,1024,0.1,1,23678072,False
vectorized,exp,double,symmetry,1024,0.1,2,25569689,False
naive,exp,double,symmetry,1024,0.1,2,23683332,False
vectorized,exp,double,symmetry,1024,0.1,3,26192557,False
naive,exp,double,symmetry,1024,0.1,3,23627023,False
vectorized,exp,double,symmetry,1024,0.1,4,24997078,False
naive,exp,double,symmetry,1024,0.1,4,23749159,False
vectorized,exp,double,symmetry,1024,0.1,5,25924483,False
naive,exp,double,symmetry,1024,0.1,5,23619281,False
vectorized,exp,double,symmetry,1024,0.1,6,26190835,False
naive,exp,double,symmetry,1024,0.1,6,23410105,False
vectorized,exp,double,symmetry,1024,0.1,7,25887569,False
naive,exp,double,symmetry,1024,0.1,7,23487045,False
vectorized,exp,double,symmetry,1024,0.1,8,26146717,False
naive,exp,double,symmetry,1024,0.1,8,23541344,False
vectorized,exp,double,symmetry,1024,0.1,9,26096321,False
naive,exp,double,symmetry,1024,0.1,9,23641118,False
vectorized,exp,double,symmetry,1024,0.2,0,28457464,False
naive,exp,double,symmetry,1024,0.2,0,24943114,False
vectorized,exp,double,symmetry,1024,0.2,1,26627780,False
naive,exp,double,symmetry,1024,0.2,1,25017148,False
vectorized,exp,double,symmetry,1024,0.2,2,27843506,False
naive,exp,double,symmetry,1024,0.2,2,24828235,False
vectorized,exp,double,symmetry,1024,0.2,3,28190479,False
naive,exp,double,symmetry,1024,0.2,3,25467544,False
vectorized,exp,double,symmetry,1024,0.2,4,27751661,False
naive,exp,double,symmetry,1024,0.2,4,24655851,False
vectorized,exp,double,symmetry,1024,0.2,5,28621108,False
naive,exp,double,symmetry,1024,0.2,5,24994093,False
vectorized,exp,double,symmetry,1024,0.2,6,26849576,False
naive,exp,double,symmetry,1024,0.2,6,25032975,False
vectorized,exp,double,symmetry,1024,0.2,7,28559848,False
naive,exp,double,symmetry,1024,0.2,7,25004052,False
vectorized,exp,double,symmetry,1024,0.2,8,27795803,False
naive,exp,double,symmetry,1024,0.2,8,22313205,False
vectorized,exp,double,symmetry,1024,0.2,9,26942232,False
naive,exp,double,symmetry,1024,0.2,9,25185453,False
vectorized,exp,double,symmetry,1024,0.25,0,28596893,True
naive,exp,double,symmetry,1024,0.25,0,23513750,True
vectorized,exp,double,symmetry,1024,0.25,1,27662307,True
naive,exp,double,symmetry,1024,0.25,1,25565407,True
vectorized,exp,double,symmetry,1024,0.25,2,27827841,True
naive,exp,double,symmetry,1024,0.25,2,25643069,True
vectorized,exp,double,symmetry,1024,0.25,3,28258124,True
naive,exp,double,symmetry,1024,0.25,3,25447752,True
vectorized,exp,double,symmetry,1024,0.25,4,28208429,True
naive,exp,double,symmetry,1024,0.25,4,26057687,True
vectorized,exp,double,symmetry,1024,0.25,5,28989565,True
naive,exp,double,symmetry,1024,0.25,5,26412133,True
vectorized,exp,double,symmetry,1024,0.25,6,28940324,True
naive,exp,double,symmetry,1024,0.25,6,25999237,True
vectorized,exp,double,symmetry,1024,0.25,7,27695531,True
naive,exp,double,symmetry,1024,0.25,7,25941414,True
vectorized,exp,double,symmetry,1024,0.25,8,28864363,True
naive,exp,double,symmetry,1024,0.25,8,25464488,True
vectorized,exp,double,symmetry,1024,0.25,9,28940125,True
naive,exp,double,symmetry,1024,0.25,9,25884922,True
vectorized,exp,double,symmetry,1024,1.0,0,24019562,True
naive,exp,double,symmetry,1024,1.0,0,21314181,True
vectorized,exp,double,symmetry,1024,1.0,1,23893969,True
naive,exp,double,symmetry,1024,1.0,1,21825735,True
vectorized,exp,double,symmetry,1024,1.0,2,23820756,True
naive,exp,double,symmetry,1024,1.0,2,21205158,True
vectorized,exp,double,symmetry,1024,1.0,3,23658812,True
naive,exp,double,symmetry,1024,1.0,3,21221606,True
vectorized,exp,double,symmetry,1024,1.0,4,23951395,True
naive,exp,double,symmetry,1024,1.0,4,21441480,True
