op,element_type,analysis,n,sparsity,mean_ns,std_ns
MEAN,double,min,1024,0.05,25667.8,773.9573344542677
MEAN,double,min,1024,0.1,32850.8,747.214947506926
MEAN,double,min,1024,0.2,52143.4,4489.5338585054305
MEAN,double,min,1024,0.25,1289347.0,1474.4192830474892
MEAN,double,min,1024,1.0,1296943.0,17724.679624122346
MEAN,double,min,2048,0.001,22673.7,1492.8511163393202
MEAN,double,min,2048,0.01,37283.4,536.1768365007945
MEAN,double,min,2048,0.05,63862.4,787.9873377437261
MEAN,double,min,2048,0.1,97149.3,1452.5753413238965
MEAN,double,min,2048,0.2,192333.5,20235.00223896976
MEAN,double,min,2048,0.25,5176798.0,2536.3175405825464
MEAN,double,min,2048,1.0,5179903.0,5061.576500129866
MEAN,double,min,4096,0.001,56138.2,1126.4112925570303
MEAN,double,min,4096,0.01,90570.7,1933.954730597386
MEAN,double,min,4096,0.05,213635.6,42372.284099659075
MEAN,double,min,4096,0.1,583063.3,15690.158982623476
MEAN,double,min,4096,0.2,1368052.0,22157.597543255648
MEAN,double,min,4096,0.25,20697250.0,2177.7919500673083
MEAN,double,min,4096,1.0,20699790.0,5322.791665199113
MEAN,double,"min, max",1024,0.001,11777.5,1474.284779515515
MEAN,double,"min, max",1024,0.01,17644.6,510.9844963945146
MEAN,double,"min, max",1024,0.05,26236.5,557.0202968574054
MEAN,double,"min, max",1024,0.1,34315.9,1038.3027229302854
MEAN,double,"min, max",1024,0.2,52012.4,3882.787807176121
MEAN,double,"min, max",1024,0.25,1752413.0,86115.06089077696
MEAN,double,"min, max",1024,1.0,1748236.0,79642.66991450694
MEAN,double,"min, max",2048,0.001,23985.3,1528.6083758329557
MEAN,double,"min, max",2048,0.01,39095.3,881.0920055375728
MEAN,double,"min, max",2048,0.05,64258.4,805.4291057842677
MEAN,double,"min, max",2048,0.1,97455.0,904.847807952011
MEAN,double,"min, max",2048,0.2,189089.4,18767.31663883311
MEAN,double,"min, max",2048,0.25,6500165.0,22838.706545395005
MEAN,double,"min, max",2048,1.0,6475210.0,17811.811312222704
MEAN,double,"min, max",4096,0.001,57931.5,1155.71932867226
MEAN,double,"min, max",4096,0.01,92934.6,1531.6753499935214
MEAN,double,"min, max",4096,0.05,213755.3,45159.15093200935
MEAN,double,"min, max",4096,0.1,582934.7,21397.866830597897
MEAN,double,"min, max",4096,0.2,1370896.0,18746.071707012223
MEAN,double,"min, max",4096,0.25,25726290.0,7375.100752607413
MEAN,double,"min, max",4096,1.0,25739270.0,26300.699188002367
MEAN,double,"min, max, mean, sparsity, numDistinctApprox",1024,0.001,92039.9,1337.9574357953193
MEAN,double,"min, max, mean, sparsity, numDistinctApprox",1024,0.01,127380.6,3378.41232270755
MEAN,double,"min, max, mean, sparsity, numDistinctApprox",1024,0.05,141365.0,2545.6654227224053
MEAN,double,"min, max, mean, sparsity, numDistinctApprox",1024,0.1,149685.5,1825.1173021662655
MEAN,double,"min, max, mean, sparsity, numDistinctApprox",1024,0.2,172868.8,3688.9612449396454
MEAN,double,"min, max, mean, sparsity, numDistinctApprox",1024,0.25,1396745.0,2709.699655353381
MEAN,double,"min, max, mean, sparsity, numDistinctApprox",1024,1.0,1404147.0,20576.04489043833
MEAN,double,"min, max, mean, sparsity, numDistinctApprox",2048,0.001,216496.1,3543.9649311658413
MEAN,double,"min, max, mean, sparsity, numDistinctApprox",2048,0.01,236578.3,2758.4389728008587
