op,element_type,analysis,n,sparsity,mean_ns,std_ns
MINUS,double,min,2048,1.0,16844380.0,9354.000926519597
MINUS,double,min,4096,0.001,47036.6,2570.904778045617
MINUS,double,min,4096,0.01,479229.5,18038.289893384503
MINUS,double,min,4096,0.05,2651793.0,774300.3870885998
MINUS,double,min,4096,0.1,11077770.0,85031.41968315773
MINUS,double,min,4096,0.2,22764550.0,623438.0914644921
MINUS,double,min,4096,0.25,67708750.0,1034229.9757683387
MINUS,double,min,4096,1.0,67292280.0,302954.16521682433
MINUS,double,"min, max",1024,0.001,7584.2,705.433483753075
MINUS,double,"min, max",1024,0.01,26208.0,73.3227265056492
MINUS,double,"min, max",1024,0.05,138056.2,13393.602210674231
MINUS,double,"min, max",1024,0.1,296299.3,14181.331359298485
MINUS,double,"min, max",1024,0.2,647868.1,256554.2802732873
MINUS,double,"min, max",1024,0.25,2575678.0,597650.9172455476
MINUS,double,"min, max",1024,1.0,2398065.0,21017.39345822358
MINUS,double,"min, max",2048,0.001,18823.2,1205.7254893032473
MINUS,double,"min, max",2048,0.01,104168.1,3933.9151674183886
MINUS,double,"min, max",2048,0.05,573633.7,21003.157699366177
MINUS,double,"min, max",2048,0.1,1120348.0,19239.755600203338
MINUS,double,"min, max",2048,0.2,2713657.0,1013224.4038058784
MINUS,double,"min, max",2048,0.25,16909720.0,15190.6257643047
MINUS,double,"min, max",2048,1.0,16873630.0,18778.536802542476
MINUS,double,"min, max",4096,0.001,45979.0,2592.0778023302714
MINUS,double,"min, max",4096,0.01,473665.4,17074.173402474793
MINUS,double,"min, max",4096,0.05,2618140.0,777433.2234703862
MINUS,double,"min, max",4096,0.1,11072760.0,17397.01123756594
MINUS,double,"min, max",4096,0.2,22566750.0,198555.26098964634
MINUS,double,"min, max",4096,0.25,67953030.0,1319234.1827742334
MINUS,double,"min, max",4096,1.0,67475930.0,389070.25943623384
MINUS,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",1024,0.001,179892.1,3125.988819557741
MINUS,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",1024,0.01,461554.3,4915.108070474585
MINUS,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",1024,0.05,933553.4,22197.94103164627
MINUS,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",1024,0.1,1384768.0,21540.775700465816
MINUS,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",1024,0.2,2269831.0,300102.44500651595
MINUS,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",1024,0.25,8324756.0,1047884.8685084105
MINUS,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",1024,1.0,8038388.0,86924.78240154272
MINUS,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",2048,0.001,415448.9,3746.0155261587283
MINUS,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",2048,0.01,903173.0,6135.294396631128
MINUS,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",2048,0.05,2263329.0,14739.6106159936
MINUS,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",2048,0.1,3825347.0,36255.64018956988
MINUS,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",2048,0.2,7331819.0,1151027.3313334773
MINUS,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",2048,0.25,38530710.0,2625499.4565902227
MINUS,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",2048,1.0,37652830.0,19894.725710878665
MINUS,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",4096,0.001,798535.6,16918.9332813206
MINUS,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",4096,0.01,2112724.0,34996.6792710394
MINUS,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",4096,0.05,7379829.0,817341.8977181799
MINUS,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",4096,0.1,14158760.0,2065368.1276389123
MINUS,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",4096,0.2,26548750.0,4685012.058386
MINUS,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",4096,0.25,149266500.0,4792133.745351159
MINUS,double,"min, max, mean, sparsity, symmetry, numDistinctApprox",4096,1.0,147449400.0,298741.8804103465
MINUS,double,numDistinct,1024,0.001,74703.2,4916.129954886601
MINUS,double,numDistinct,1024,0.01,842580.3,3737.429956236997
MINUS,double,numDistinct,1024,0.05,4321049.0,16681.405782753518
MINUS,double,numDistinct,1024,0.1,9509047.0,39347.67254164402
MINUS,double,numDistinct,1024,0.2,21717410.0,990369.9010975644
MINUS,double,numDistinct,1024,0.25,31278860.0,1658709.2097973854
MINUS,double,numDistinct,1024,1.0,209281000.0,3759216.6441664146
MINUS,double,numDistinct,2048,0.001,272162.6,17610.068043278225
MINUS,double,numDistinct,2048,0.01,3220345.0,145894.8887422418
MINUS,double,numDistinct,2048,0.05,21562870.0,324799.473350695
MINUS,double,numDistinct,2048,0.1,52370240.0,656735.9814517039
MINUS,double,numDistinct,2048,0.2,161922500.0,4069445.723928507
MINUS,double,numDistinct,2048,0.25,249256400.0,4500289.724006668
MINUS,double,numDistinct,2048,1.0,1388653000.0,6669169.613477629
MINUS,double,numDistinct,4096,0.001,1327243.0,97110.03244315754
MINUS,double,numDistinct,4096,0.01,15307800.0,634897.6452941058
