result_repr,element_type,analysis,n,sparsity,mean_ns,std_ns
CSRMatrix,int64_t,numDistinct,4096,0.1,104334.2,19920.78638452252
CSRMatrix,int64_t,numDistinct,4096,0.2,129936.3,28709.403748017245
CSRMatrix,int64_t,numDistinct,4096,0.25,144318.4,33665.90518676788
CSRMatrix,int64_t,numDistinct,4096,1.0,1033174.0,346098.2228982595
CSRMatrix,int64_t,numDistinctApprox,1024,0.001,12013.2,670.8995288251274
CSRMatrix,int64_t,numDistinctApprox,1024,0.01,15824.5,1702.3486553712912
CSRMatrix,int64_t,numDistinctApprox,1024,0.05,24690.9,3702.624968256379
CSRMatrix,int64_t,numDistinctApprox,1024,0.1,32404.7,5765.917794342121
CSRMatrix,int64_t,numDistinctApprox,1024,0.2,45363.5,9126.702170006427
CSRMatrix,int64_t,numDistinctApprox,1024,0.25,48860.0,10678.695571609442
CSRMatrix,int64_t,numDistinctApprox,1024,1.0,133545.0,39450.962418904026
CSRMatrix,int64_t,numDistinctApprox,2048,0.001,24332.2,1603.7681877378661
CSRMatrix,int64_t,numDistinctApprox,2048,0.01,32888.9,3845.1065423759355
CSRMatrix,int64_t,numDistinctApprox,2048,0.05,49143.5,7650.568029020241
CSRMatrix,int64_t,numDistinctApprox,2048,0.1,62229.1,11663.397536738597
CSRMatrix,int64_t,numDistinctApprox,2048,0.2,78510.4,16454.434385093078
CSRMatrix,int64_t,numDistinctApprox,2048,0.25,85022.0,18900.813580372673
CSRMatrix,int64_t,numDistinctApprox,2048,1.0,393519.0,126856.96256545532
CSRMatrix,int64_t,numDistinctApprox,4096,0.001,52403.0,5206.682927844859
CSRMatrix,int64_t,numDistinctApprox,4096,0.01,68884.6,9237.09036920658
CSRMatrix,int64_t,numDistinctApprox,4096,0.05,98931.8,17987.896256464606
CSRMatrix,int64_t,numDistinctApprox,4096,0.1,115380.2,22583.830940643256
CSRMatrix,int64_t,numDistinctApprox,4096,0.2,139384.9,30739.695098791504
CSRMatrix,int64_t,numDistinctApprox,4096,0.25,155069.0,36307.72933932633
CSRMatrix,int64_t,numDistinctApprox,4096,1.0,1054154.3,351746.70739738276
CSRMatrix,int64_t,sparsity,1024,0.001,11634.5,644.3593286703036
CSRMatrix,int64_t,sparsity,1024,0.01,15246.9,1657.3369837717908
CSRMatrix,int64_t,sparsity,1024,0.05,22838.4,3550.4790975616547
CSRMatrix,int64_t,sparsity,1024,0.1,29436.8,5033.441694197807
CSRMatrix,int64_t,sparsity,1024,0.2,39745.8,8409.918017832675
CSRMatrix,int64_t,sparsity,1024,0.25,43267.9,9620.982884069359
CSRMatrix,int64_t,sparsity,1024,1.0,124194.2,37960.71350400745
CSRMatrix,int64_t,sparsity,2048,0.001,24097.8,1536.1967321928544
CSRMatrix,int64_t,sparsity,2048,0.01,31938.2,3529.481730918704
CSRMatrix,int64_t,sparsity,2048,0.05,46463.5,7408.100060069383
CSRMatrix,int64_t,sparsity,2048,0.1,57111.4,10871.202460323022
CSRMatrix,int64_t,sparsity,2048,0.2,69632.0,15094.601750294703
CSRMatrix,int64_t,sparsity,2048,0.25,76648.7,17750.177094891194
CSRMatrix,int64_t,sparsity,2048,1.0,377277.7,123082.91453781155
CSRMatrix,int64_t,sparsity,4096,0.001,50300.2,4185.132516154988
CSRMatrix,int64_t,sparsity,4096,0.01,67780.1,8587.762875808292
CSRMatrix,int64_t,sparsity,4096,0.05,91984.4,15612.29375417548
CSRMatrix,int64_t,sparsity,4096,0.1,105124.1,20286.616406170626
CSRMatrix,int64_t,sparsity,4096,0.2,128107.5,28102.46606517735
CSRMatrix,int64_t,sparsity,4096,0.25,144833.6,35172.34964570891
CSRMatrix,int64_t,sparsity,4096,1.0,1023620.4,343233.46984788973
CSRMatrix,int64_t,symmetry,1024,0.001,12461.2,1608.6355018393003
CSRMatrix,int64_t,symmetry,1024,0.01,15970.4,655.1068106296357
CSRMatrix,int64_t,symmetry,1024,0.05,24616.1,2732.919661786233
CSRMatrix,int64_t,symmetry,1024,0.1,33871.0,5271.585277061667
CSRMatrix,int64_t,symmetry,1024,0.2,44843.8,8288.876010118085
CSRMatrix,int64_t,symmetry,1024,0.25,48503.5,9599.577991303113
CSRMatrix,int64_t,symmetry,1024,1.0,132947.1,38028.57578906215
CSRMatrix,int64_t,symmetry,2048,0.001,24976.8,992.4870891967423
CSRMatrix,int64_t,symmetry,2048,0.01,33047.4,1615.9186723209666
CSRMatrix,int64_t,symmetry,2048,0.05,50021.9,7067.667923564164
CSRMatrix,int64_t,symmetry,2048,0.1,62560.5,10678.788521071936
CSRMatrix,int64_t,symmetry,2048,0.2,78145.7,15467.010384470987
CSRMatrix,int64_t,symmetry,2048,0.25,84198.2,17337.93633625409
CSRMatrix,int64_t,symmetry,2048,1.0,385517.3,123165.6106233933
CSRMatrix,int64_t,symmetry,4096,0.001,53282.0,4769.106624935115
CSRMatrix,int64_t,symmetry,4096,0.01,68820.2,6686.436649416988
CSRMatrix,int64_t,symmetry,4096,0.05,98036.3,16430.17493685188
CSRMatrix,int64_t,symmetry,4096,0.1,113619.6,20460.5216410096
CSRMatrix,int64_t,symmetry,4096,0.2,137667.7,28836.279098270174
CSRMatrix,int64_t,symmetry,4096,0.25,175927.5,83835.205319391
CSRMatrix,int64_t,symmetry,4096,1.0,1034251.2,344556.9187698569
DenseMatrix,double,min,1024,0.001,9115.4,4120.848785276052
DenseMatrix,double,min,1024,0.01,15961.1,2269.6007700817254
DenseMatrix,double,min,1024,0.05,17828.1,221.38124481435938
DenseMatrix,double,min,1024,0.1,17385.0,154.25519980430684
DenseMatrix,double,min,1024,0.2,17091.8,194.01534876281133
DenseMatrix,double,min,1024,0.25,16915.0,244.46767566376607
DenseMatrix,double,min,1024,1.0,16446.2,136.75428085925978
DenseMatrix,double,min,2048,0.001,14206.7,3018.7340264127647
DenseMatrix,double,min,2048,0.01,21040.7,578.5867936427327
DenseMatrix,double,min,2048,0.05,21179.1,159.28203497779225
DenseMatrix,double,min,2048,0.1,20910.3,353.06909931186095
DenseMatrix,double,min,2048,0.2,20155.1,448.73958050422846
DenseMatrix,double,min,2048,0.25,19791.3,500.6260635999247
DenseMatrix,double,min,2048,1.0,18585.5,228.8193125104999
DenseMatrix,double,min,4096,0.001,27664.0,3096.3669392083075
DenseMatrix,double,min,4096,0.01,29374.3,235.78099537023257
DenseMatrix,double,min,4096,0.05,28391.1,510.5666677547825
DenseMatrix,double,min,4096,0.1,27506.7,274.48904046124227
DenseMatrix,double,min,4096,0.2,25816.2,476.6887640565674
DenseMatrix,double,min,4096,0.25,25341.0,962.5416585501347
DenseMatrix,double,min,4096,1.0,23063.7,331.38498926642905
DenseMatrix,double,"min, max",1024,0.001,8227.8,3581.628022127492
DenseMatrix,double,"min, max",1024,0.01,15505.4,2172.6979746133347
DenseMatrix,double,"min, max",1024,0.05,17258.1,230.7381632933746
DenseMatrix,double,"min, max",1024,0.1,17320.5,87.02138945237651
DenseMatrix,double,"min, max",1024,0.2,17080.7,203.84473939196312
DenseMatrix,double,"min, max",1024,0.25,17099.3,459.05871084208906
DenseMatrix,double,"min, max",1024,1.0,17094.4,85.81401077006251
DenseMatrix,double,"min, max",2048,0.001,13550.0,2874.1659273218343
DenseMatrix,double,"min, max",2048,0.01,20528.4,484.7086639300859
DenseMatrix,double,"min, max",2048,0.05,21059.0,133.89465178929865
DenseMatrix,double,"min, max",2048,0.1,20880.2,434.22237006707377
DenseMatrix,double,"min, max",2048,0.2,20113.2,254.98967299350235
DenseMatrix,double,"min, max",2048,0.25,20014.5,435.7584065613532
DenseMatrix,double,"min, max",2048,1.0,19978.6,394.1145349599113
DenseMatrix,double,"min, max",4096,0.001,25713.1,2791.170620605865
DenseMatrix,double,"min, max",4096,0.01,28802.5,512.5373157146705
DenseMatrix,double,"min, max",4096,0.05,28294.5,222.984927243475
DenseMatrix,double,"min, max",4096,0.1,27526.0,386.62298603850945
